Page Number,Layer Title,Cue Number,Label,Action,Work Note
8,Lights,1,"Preshow","",""
8,Lights,5,"Curtain Speech","",""
8,Lights,9,"Blackout","",""
8,Lights,10,"Overture","",""
8,Lights,11,"Special: Lockstock House L","",""
8,Lights,12,"Higlight: Urinetown","",""
8,Lights,13,"Focus Penny+Bobby: bringing in desk from SL","",""
8,Lights,14,"Lockstock DSR","",""
8,Music,1,"Preshow music","",""
8,Music,9,"Stop preshow music","",""
8,Sound,10,"unmute band","",""
8,Sound,15,"unmute Lockstock","",""
8,Sound,16,"unmute Penny","",""
8,Sound,17,"unmute Bobby","",""
8,Sound,18,"mute Penny, Bobby","",""
8,Video,10,"Urinals","",""
9,Lights,15,"Public amenity","",""
9,Lights,17,"Sally","",""
9,Lights,20,"'This is Urinetown'","",""
9,Sound,19,"unmute Sally","",""
9,Sound,20,"mute Sally","",""
10,Lights,22,"Brighter, focus curtain","",""
10,Lights,23,"Snap focus Lockstock DSL","",""
10,Lights,24,"Tableau","",""
10,Lights,25,"Reality: focus desk DSL","",""
10,Lights,26,"Snap focus: Lockstock DSR","",""
10,Lights,27,"Reality","",""
10,Sound,21,"unmute McQueen, Fipp, Barrel","",""
10,Sound,22,"mute McQueen, Fipp, Barrel","",""
10,Sound,23,"unmute Sally","",""
10,Sound,24,"mute Sally","",""
10,Sound,25,"unmute Bobby, Hope","",""
11,Lights,28,"Back to Lockstock, DSR","",""
11,Lights,30,"C scaffolds, specials, backlight","",""
11,Sound,,"unmute Sally, Bobby, Cladwell, Hope, Penny, Barrel, McQueen, Fipp","",""
11,Sound,26,"mute Hope","",""
11,Sound,27,"mute Bobby","",""
12,Lights,31,"Brighter","",""
12,Lights,32,"DSL, bkg: C","",""
12,Lights,33,"Booms for front, Top sides for curtain line","",""
12,Lights,34,"dim","",""
12,Lights,35,"Crescendo, DSL + curtain","",""
13,Lights,39,"Big finish","",""
13,Lights,40,"Back to Urinals, focus desk","",""
13,Lights,41,"Focus Sally, crossing from DSR to C","",""
13,Lights,42,"Sally joins the crowd","",""
13,Sound,,"mute Lockstock, Sally, Bobby, Cladwell, Hope, Barrel, McQueen, Fipp","",""
13,Sound,30,"unmute Penny","",""
13,Sound,31,"mute Penny","",""
13,Sound,32,"unmute Sally","",""
13,Sound,33,"unmute Fipp","",""
13,Sound,34,"mute Fipp","",""
13,Sound,35,"unmute Old Man Strong, Penny","",""
14,Lights,43,"focus Penny, MSCL","",""
14,Lights,44,"dim","",""
14,Lights,45,"'Privilege to Pee'","",""
14,Sound,36,"unmute Bobby, Tom","",""
14,Sound,37,"unmute Sue, Becky","",""
14,Sound,38,"mute Tom, Sue, Becky","",""
14,Sound,39,"mute Bobby, Old Man Strong","",""
15,Lights,45.5,"Focus Penny DSC","",""
15,Lights,46,"sting","",""
15,Lights,47,"Back to dim","",""
15,Lights,48,"bigger","",""
15,Lights,49,"Sweet, Focus C","",""
15,Lights,50,"Dark, add chorus C","",""
15,Lights,51,"Sting: stop","",""
15,Lights,52,"Focus desk DSL","",""
15,Sound,40,"unmute Bobby","",""
15,Sound,41,"mute Bobby","",""
15,Sound,42,"unmute Old Man Strong","",""
16,Lights,53,"Song mode","",""
16,Lights,54,"Sweet, focus DSL","",""
16,Lights,55,"Fade back","",""
16,Sound,43,"mute Old Man Strong","",""
17,Lights,59,"Solo Penny","",""
17,Lights,60,"Big finish","",""
17,Lights,61,"Back to scene, focus MSL in front of platform","",""
17,Lights,62,"Focs MSL","",""
17,Sound,44,"unmute Bobby, Sue, Robby, Tom, Becky","",""
17,Sound,45,"unmute Bobby, Old Man Strong","",""
17,Sound,46,"mute Bobby","",""
17,Sound,47,"mute Penny ","",""
18,Lights,63,"Cops arrive, from SR","",""
18,Lights,65,"Focus CSL ","",""
18,Lights,66,"Take him away, MSL","",""
18,Sound,48,"mute Bobby, Sue, Robby, Tom, Becky","",""
18,Sound,49,"unmute Penny","",""
18,Sound,50,"mute Penny","",""
18,Sound,51,"mute Barrel","",""
18,Sound,52,"unmute Bobby","",""
18,Sound,53,"unmute Lockstock, Barrel, Old Man Strong","",""
19,Lights,67,"Focus DSC","",""
19,Lights,70,"Focus desk","",""
19,Lights,71,"Back to scene","",""
19,Lights,72,"Solo Bobby desk","",""
19,Lights,73,"Blackout","",""
19,Lights,74,"Scene change","",""
19,Sound,54,"mute Bobby, Penny","",""
19,Sound,55,"unmute band","",""
19,Sound,55,"mute Old Man Strong, Bobby","",""
19,Sound,56,"unmute Poor","",""
19,Sound,57,"unmute Bobby","",""
19,Sound,58,"unmute Penny, Sue, Tom, Becky","",""
19,Sound,59,"mute Sue, Tom, Becky","",""
20,Lights,75,"Scene 2 - UGC","",""
20,Sound,60,"unmute Fipp, Cladwell","",""
20,Sound,62,"unmute Hope, McQueen","",""
20,Sound,63,"mute Fipp","",""
21,Lights,76,"Focus DSL","",""
21,Lights,77,"Staff transition","",""
21,Sound,64,"mute McQueen, Cladwell","",""
21,Sound,65,"unmute Fipp","",""
21,Sound,66,"mute Hope","",""
21,Sound,67,"unmute Cladwell","",""
21,Sound,68,"mute Fipp","",""
22,Lights,78,"Full staff","",""
22,Lights,79,"Vamp","",""
22,Lights,80,"'Mr. Cladwell'","",""
22,Lights,81,"highlight DS dancers","",""
22,Sound,,"unmute band","",""
22,Sound,69,"unmute Hope","",""
22,Sound,70,"unmute Staff","",""
22,Sound,71,"mute Staff","",""
22,Sound,72,"mute Hope","",""
23,Lights,82,"Bright fronts, color bkg","",""
23,Lights,83,"Snap Cladwell C","",""
23,Lights,84,"More dance","",""
23,Lights,85.1,"Snap Dancers","",""
23,Lights,85.2,"Snap Cladwell","",""
23,Lights,85.3,"Snap Dancers","",""
23,Lights,85.4,"Snap Cladwell","",""
23,Lights,86,"Song","",""
23,Lights,86.1,"Hope and Cladwell lines","",""
23,Sound,73,"unmute McQueen","",""
23,Sound,75,"unmute Staff","",""
23,Sound,76,"unmute Hope","",""
23,Sound,78,"unmute McQueen","",""
24,Lights,87,"McQueen C","",""
24,Lights,88,"Desk moves DSC","",""
24,Lights,88.5,"Desk spins","",""
24,Lights,89,"Trio, DSC","",""
24,Lights,90,"Dr. B: MSL","",""
24,Lights,91,"DSC","",""
24,Lights,92,"Big dance fun","",""
24,Lights,93,"Snap Cladwell C","",""
24,Sound,79,"mute Hope","",""
24,Sound,80,"unmute Billeaux","",""
24,Sound,81,"mute Billeaux","",""
24,Sound,82,"unmute Hope, Staff","",""
25,Lights,94,"Busby buildup","",""
25,Lights,94.1,"Boom 1","",""
25,Lights,94.2,"Boom 2","",""
25,Lights,94.3,"Boom 3","",""
25,Lights,95,"Rockettes DS","",""
25,Lights,96.1,"SL","",""
25,Lights,96.2,"SR","",""
25,Lights,96.3,"","",""
25,Lights,96.4,"","",""
25,Lights,97,"Pedal","",""
25,Lights,98,"Solo: Cladwell C","",""
25,Lights,99,"Big finish","",""
25,Lights,99.9,"Button","",""
25,Sound,83,"mute Cladwell","",""
25,Sound,84,"unmute Cladwell","",""
25,Sound,85,"mute Staff","",""
26,Lights,100,"Back to scene","",""
26,Lights,101,"Scene change","",""
